imdb_id,title,year,director,region_code,budget_usd,us_gross,genres,date,runtime_minutes,averagerating
tt0362269,Kinsey,2004,Bill Condon,US,11000000.0,10000000.0,"Biography, Drama, Romance",2004-09-04,,
tt0362270,The Life Aquatic with Steve Zissou,2004,Wes Anderson,US,50000000.0,24000000.0,"Action, Adventure, Comedy",2004-12-10,,
tt0362478,The Box,2009,Richard Kelly,US,30000000.0,15000000.0,"Drama, Fantasy, Mystery",2009-09-17,,
tt0362511,Dorm Daze,2003,David Hillenbrand,US,-1.0,56000.0,"Comedy, Crime, Mystery",2003-09-26,,
tt0363163,Downfall,2004,Oliver Hirschbiegel,DE,14998928.647953715,5500000.0,"Biography, Drama, History",2004-09-08,,
tt0363226,The Blind Swordsman: Zatoichi,2003,Takeshi Kitano,JP,-1.0,1100000.0,"Action, Comedy, Crime",2003-09-06,,
tt0363282,New York Minute,2004,Dennie Gordon,US,30000000.0,14000000.0,"Comedy, Crime, Family",2004-05-07,,
tt0363547,Dawn of the Dead,2004,Zack Snyder,US,26000000.0,59000000.0,"Action, Horror",2004-03-19,,
tt0363589,Elephant,2003,Gus Van Sant,US,3000000.0,1300000.0,"Crime, Drama, Thriller",2003-09-06,,
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Andrew Adamson,US,180000000.0,292000000.0,"Adventure, Family, Fantasy",2005-12-07,,
tt0363988,Secret Window,2004,David Koepp,US,40000000.0,48000000.0,"Drama, Mystery, Thriller",2004-03-12,,
tt0364045,Taking Lives,2004,D.J. Caruso,US,45000000.0,33000000.0,"Crime, Mystery, Thriller",2004-03-19,,
tt0364343,The Final Cut,2004,Omar Naim,US,-1.0,551000.0,"Drama, Sci-Fi, Thriller",2004-10-15,,
tt0364385,Ju-on: The Grudge,2002,Takashi Shimizu,JP,3500000.0,326000.0,Horror,2002-10-18,,
tt0364517,Love Me If You Dare,2003,Yann Samuell,FR,-1.0,554000.0,"Comedy, Drama, Romance",2003-09-17,,
tt0364569,Oldboy,2003,Chan-wook Park,KR,3000000.0,707000.0,"Action, Drama, Mystery",2003-11-21,,
tt0364725,Dodgeball: A True Underdog Story,2004,Rawson Marshall Thurber,US,20000000.0,114000000.0,"Comedy, Sport",2004-06-18,,
tt0364751,Without a Paddle,2004,Steven Brill,US,19000000.0,58000000.0,"Adventure, Comedy, Mystery",2004-08-20,,
tt0364955,Art School Confidential,2006,Terry Zwigoff,US,-1.0,3300000.0,"Comedy, Drama, Romance",2006-05-05,,
tt0364970,Babylon A.D.,2008,Mathieu Kassovitz,FR,70000000.0,23000000.0,"Action, Adventure, Sci-Fi",2008-08-20,,
tt0365125,A Dirty Shame,2004,John Waters,US,15000000.0,1300000.0,Comedy,2004-09-12,,
